Name,Date,Body weight,Shape,Sleep,Calories,Stress
Instance of 'Loc'
"Exercise, Machine Bicep Curl",Set,2,reps,11,weight,35
"Exercise, Machine Bicep Curl",Set,3,reps,9,weight,35
"Exercise, Machine Bicep Curl",Set,4,reps,10,weight,30
"Exercise, Smith Machine JM Press ",Set,1,reps,9,weight,40
Instance of 'Loc'
"Exercise, Smith Machine JM Press ",Set,2,reps,10,weight,40
"Exercise, Smith Machine JM Press ",Set,3,reps,9,weight,40
"Exercise, Smith Machine JM Press ",Set,4,reps,8,weight,40

"JP - Block 5: Week 2, Workout 4",2025-01-05,84.7,7,7,4,5
"Exercise, Deadlift",Set,1,reps,2,weight,190
Instance of 'Loc'
"Exercise, Deadlift",Set,2,reps,2,weight,200
Instance of 'Loc'
"Exercise, Deadlift",Set,3,reps,7,weight,155
Instance of 'Loc'
"Exercise, Leg Press",Set,1,reps,6,weight,175
Instance of 'Loc'
"Exercise, Leg Press",Set,2,reps,9,weight,140
Instance of 'Loc'
"Exercise, Leg Press",Set,3,reps,8,weight,140
Instance of 'Loc'
"Exercise, Standing Calf Raise",Set,1,reps,12,weight,240
Instance of 'Loc'
"Exercise, Standing Calf Raise",Set,2,reps,11,weight,240
"Exercise, Seated Leg Curl",Set,1,reps,11,weight,70
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,2,reps,9,weight,70
"Exercise, Cable Y-Raise",Set,1,reps,15,weight,10
Instance of 'Loc'
"Exercise, Cable Y-Raise",Set,2,reps,14,weight,10
"Exercise, Hack Squat Sissy Squat ",Set,1,reps,11,weight,10
Instance of 'Loc'
"Exercise, Hack Squat Sissy Squat ",Set,2,reps,10,weight,10
"Exercise, Low to High Cable Fly ",Set,1,reps,12,weight,25
Instance of 'Loc'
"Exercise, Low to High Cable Fly ",Set,2,reps,10,weight,25

"JP - Block 5: Week 2, Workout 3",2025-01-04,84.9,7,7,5,5
"Exercise, Bench Press",Set,1,reps,2,weight,120
Instance of 'Loc'
"Exercise, Bench Press",Set,2,reps,2,weight,122.5
Instance of 'Loc'
"Exercise, Bench Press",Set,3,reps,8,weight,95
Instance of 'Loc'
"Exercise, Machine Lat Pulldown",Set,1,reps,11,weight,80
Instance of 'Loc'
"Exercise, Machine Lat Pulldown",Set,2,reps,9,weight,80
"Exercise, Machine Lat Pulldown",Set,3,reps,8,weight,80
"Exercise, Low Incline DB Bench",Set,1,reps,10,weight,35
Instance of 'Loc'
"Exercise, Low Incline DB Bench",Set,2,reps,9,weight,35
"Exercise, Low Incline DB Bench",Set,3,reps,7,weight,35
"Exercise, Seated Hook Row",Set,1,reps,12,weight,55
Instance of 'Loc'
"Exercise, Seated Hook Row",Set,2,reps,11,weight,55
"Exercise, Seated Hook Row",Set,3,reps,10,weight,55
"Exercise, Machine Kelso Shrug",Set,1,reps,9,weight,55
Instance of 'Loc'
"Exercise, Machine Kelso Shrug",Set,2,reps,10,weight,55
"Exercise, Machine Kelso Shrug",Set,3,reps,9,weight,55
"Exercise, Dumbbell Preacher Curl",Set,1,reps,10,weight,12
Instance of 'Loc'
"Exercise, Dumbbell Preacher Curl",Set,2,reps,9,weight,12
"Exercise, Dumbbell Preacher Curl",Set,3,reps,8,weight,12
"Exercise, Smith Machine JM Press ",Set,1,reps,10,weight,40
Instance of 'Loc'
"Exercise, Smith Machine JM Press ",Set,2,reps,9,weight,40
"Exercise, Smith Machine JM Press ",Set,3,reps,8,weight,40

"JP - Block 5: Week 2, Workout 2",2025-01-02,85,7,3,5,5
"Exercise, High bar squat",Set,1,reps,7,weight,115
Instance of 'Loc'
"Exercise, High bar squat",Set,2,reps,7,weight,120
Instance of 'Loc'
"Exercise, Smith Machine Squat",Set,1,reps,9,weight,80
Instance of 'Loc'
"Exercise, Smith Machine Squat",Set,2,reps,8,weight,80
"Exercise, Leg Press Calf Raise (Cable)",Set,1,reps,12,weight,90
Instance of 'Loc'
"Exercise, Leg Press Calf Raise (Cable)",Set,2,reps,11,weight,90
"Exercise, Romanian Deadlift",Set,1,reps,7,weight,145
Instance of 'Loc'
"Exercise, Romanian Deadlift",Set,2,reps,11,weight,110
Instance of 'Loc'
"Exercise, Romanian Deadlift",Set,3,reps,10,weight,110
Instance of 'Loc'
"Exercise, Leg Extension",Set,1,reps,8,weight,80
Instance of 'Loc'
"Exercise, Leg Extension",Set,2,reps,10,weight,75
"Exercise, Leg Extension",Set,3,reps,3,weight,75
Instance of 'Loc'
"Exercise, Cable Lateral Raise",Set,1,reps,14,weight,10
Instance of 'Loc'
"Exercise, Cable Lateral Raise",Set,2,reps,13,weight,10
"Exercise, Cable Lateral Raise",Set,3,reps,4,weight,10
Instance of 'Loc'

"JP - Block 5: Week 2, Workout 1",2024-12-31,85,7,4,5,5
"Exercise, Dumbbell Chest Press",Set,1,reps,9,weight,45
Instance of 'Loc'
"Exercise, Dumbbell Chest Press",Set,2,reps,8,weight,45
Instance of 'Loc'
"Exercise, Dumbbell Chest Press",Set,3,reps,10,weight,35
Instance of 'Loc'
"Exercise, Chin-Up",Set,1,reps,8,bodyweight,85,extraWeight,15
Instance of 'Loc'
"Exercise, Chin-Up",Set,2,reps,6,bodyweight,85,extraWeight,15
Instance of 'Loc'
"Exercise, Chin-Up",Set,3,reps,0,bodyweight,85,extraWeight,0
Instance of 'Loc'
"Exercise, Smith Machine Incline Bench Press",Set,1,reps,11,weight,55
Instance of 'Loc'
"Exercise, Smith Machine Incline Bench Press",Set,2,reps,9,weight,55
"Exercise, Smith Machine Incline Bench Press",Set,3,reps,8,weight,55
"Exercise, Cable Flexion Row",Set,1,reps,12,weight,60
Instance of 'Loc'
"Exercise, Cable Flexion Row",Set,2,reps,11,weight,60
"Exercise, Cable Flexion Row",Set,3,reps,9,weight,60
"Exercise, Machine Tricep Press",Set,1,reps,14,weight,60
Instance of 'Loc'
"Exercise, Machine Tricep Press",Set,2,reps,13,weight,60
"Exercise, Machine Tricep Press",Set,3,reps,12,weight,60
"Exercise, Machine Tricep Press",Set,4,reps,11,weight,60
"Exercise, Cable Curl With Bar",Set,1,reps,10,weight,40
Instance of 'Loc'
"Exercise, Cable Curl With Bar",Set,2,reps,9,weight,40
"Exercise, Cable Curl With Bar",Set,3,reps,8,weight,40
"Exercise, Cable Curl With Bar",Set,4,reps,8,weight,40
"Exercise, Lean In Single Arm DB Lateral Raise",Set,1,reps,11,weight,6
Instance of 'Loc'
"Exercise, Lean In Single Arm DB Lateral Raise",Set,2,reps,10,weight,6
"Exercise, Lean In Single Arm DB Lateral Raise",Set,3,reps,9,weight,6
"Exercise, Machine Crunch",Set,1,reps,15,weight,22.5
Instance of 'Loc'
"Exercise, Machine Crunch",Set,2,reps,14,weight,22.5
"Exercise, Machine Crunch",Set,3,reps,12,weight,22.5

"JP - Block 5: Week 1, Workout 4",2024-12-29,85.3,7,7,6,-1
"Exercise, Deadlift",Set,1,reps,2,weight,190
Instance of 'Loc'
"Exercise, Deadlift",Set,2,reps,7,weight,147.5
Instance of 'Loc'
"Exercise, Leg Press",Set,1,reps,6,weight,170
Instance of 'Loc'
"Exercise, Leg Press",Set,2,reps,8,weight,140
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,1,reps,10,weight,70
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,2,reps,8,weight,70
"Exercise, Standing Calf Raise",Set,1,reps,11,weight,240
