Workout Name,Date,Exercise,Set,Reps,Weight,Extra Weight
"JP - Block 5: Week 3, Workout 4",2025-01-12,Deadlift,1,2,190,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Deadlift,2,2,205,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Deadlift,3,8,157.5,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Leg Press,1,6,185,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Leg Press,2,10,145,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Leg Press,3,9,145,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Standing Calf Raise,1,14,240,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Standing Calf Raise,2,13,240,
"JP - Block 5: Week 3, Workout 4",2025-01-12,Standing Calf Raise,3,12,240,
